MPAArating,distributor,domestic,genre,name,production_budget,release_year,series,worldwide
R,Warner Bros.,25568251,Comedy / Drama,Her (2013),$23 million,2013,No,47351251
R,IFC,25352281,Drama,Boyhood,$4 million,2014,No,44495281
PG-13,Sony / Columbia,21067116,Comedy / Drama,Aloha,$37 million,2015,No,26250020
PG-13,Relativity,21571189,Drama,Black or White,$9 million,2015,No,21571189
PG-13,Paramount,22348241,Sci-Fi,Project Almanac,$12 million,2015,No,33213241
R,Fox,22467450,Action / Adventure,Hitman: Agent 47,$35 million,2015,No,82347656
R,Warner Bros. (New Line),22764410,Horror,The Gallows,"$100,000",2015,No,42964410
PG-13,Warner Bros.,25020758,Drama,In the Heart of the Sea,$100 million,2015,No,93920758
R,A24,25442958,Sci-Fi Thriller,Ex Machina,$15 million,2015,No,36869414
PG-13,Relativity,25801047,Horror,The Lazarus Effect,$3.3 million,2015,No,38358787
PG-13,Lionsgate,26302731,Comedy,Love the Coopers,$17 million,2015,No,42426912
R,Warner Bros.,26461644,Action,Run All Night,$50 million,2015,No,71661644
PG-13,Relativity,26501323,Horror,The Woman in Black 2: Angel of Death,N/A,2015,Series: Woman in Black,48854305
PG-13,TriStar,26822144,Comedy / Drama,Ricki and the Flash,$18 million,2015,No,41325328
R,Weinstein Company,27288872,Action,No Escape,N/A,2015,No,54418872
PG-13,Lionsgate/Summit,27367660,Action Fantasy,The Last Witch Hunter,$90 million,2015,No,146936910
R,Focus Features,27740955,Horror,Sinister 2,$10 million,2015,Series: Sinister,52882018
PG-13,Warner Bros.,28782481,Action,Point Break (2015),$105 million,2015,No,133718711
R,Broad Green Pictures,29504281,Comedy,A Walk in the Woods,N/A,2015,No,37461274
R,Universal,31090320,Horror,Crimson Peak,$55 million,2015,No,74679822
R,Sony / Columbia,31569268,Sci-Fi Action,Chappie,$49 million,2015,No,102069268
PG-13,Fox,32000304,Drama,Paper Towns,$12 million,2015,No,85512300
R,Warner Bros.,32363404,Comedy,Entourage,$30 million,2015,No,49263404
R,Universal,32482090,Horror,Unfriended,$1 million,2015,Series: Unfriended,64056643
PG,Fox Searchlight,33078266,Comedy / Drama,The Second Best Exotic Marigold Hotel,$10 million,2015,No,85978266
PG-13,Weinstein Company,33307793,Drama,Woman in Gold,$11 million,2015,No,61619773
PG-13,Lionsgate,34030343,Comedy,The DUFF,$8.5 million,2015,No,43528634
PG-13,Sony / Columbia,34542474,Drama,Concussion (2015),$35 million,2015,No,48623572
PG-13,Warner Bros. (New Line),34580201,Comedy,Hot Pursuit,$35 million,2015,No,51680201
PG,Warner Bros.,35088320,Fantasy,Pan,$150 million,2015,No,128388320
R,Universal,35423380,Thriller,The Boy Next Door,$4 million,2015,No,52425855
PG-13,Fox,37446117,Romance,The Longest Ride,$34 million,2015,No,62944815
PG-13,Fox Searchlight,38322743,Drama,Brooklyn,N/A,2015,No,62076141
PG-13,Lionsgate,42629776,Drama,The Age of Adaline,N/A,2015,No,65663276
PG,Warner Bros.,42656255,Family,Max (2015),$20 million,2015,No,43967255
PG-13,Universal,42725475,Horror Comedy,Krampus,$15 million,2015,No,61548707
R,Sony / Columbia,43047372,Comedy,The Night Before,$25 million,2015,No,52395996
PG-13,Universal,43482270,Thriller,Everest (2015),$55 million,2015,No,203427584
R,STX Entertainment,43787265,Thriller,The Gift (2015),$5 million,2015,No,58978653
PG,Buena Vista,44482410,Sports Drama,"McFarland, USA",N/A,2015,No,45710059
R,Open Road Films,45055776,Drama,Spotlight,N/A,2015,No,98275238
PG-13,Warner Bros.,45445109,Action,The Man From U.N.C.L.E.,$75 million,2015,No,109845109
R,Lionsgate,46889293,Action Drama,Sicario,$30 million,2015,Series: Sicario,84872444
PG-13,Warner Bros.,47387723,Sci-Fi,Jupiter Ascending,$176 million,2015,No,183987723
PG-13,Fox,47425125,Horror,Poltergeist (2015),$35 million,2015,Series: Poltergeist,95437994
R,Weinstein Company,52421953,Drama,Southpaw,$30 million,2015,No,91970827
PG-13,Focus Features,52218558,Horror,Insidious Chapter 3,$10 million,2015,Series: Insidious,112983889
R,Warner Bros.,53862963,Comedy,Focus (2015),$50.1 million,2015,No,159062963
R,Weinstein Company,54117416,Western,The Hateful Eight,$44 million,2015,No,155760117
PG-13,Fox,56117548,Action / Adventure,Fantastic Four,$120 million,2015,Series: Fantastic Four,167977596
PG-13,Fox,56451232,Comedy / Drama,Joy,$60 million,2015,No,101134059
PG-13,Sony / Screen Gems,57027435,Thriller,The Perfect Guy,$12 million,2015,No,60273173
R,Warner Bros. (New Line),58884188,Comedy,Vacation,$31 million,2015,Series: Vacation,104884188
R,Warner Bros.,62575678,Crime Drama,Black Mass,$53 million,2015,No,99775678
R,Sony / Screen Gems,64460211,Comedy,The Wedding Ringer,$23 million,2015,No,79799880
PG-13,Universal,65206105,Horror,The Visit,$5 million,2015,No,98450062
R,Warner Bros.,66013057,Comedy / Drama,Magic Mike XXL,$14.8 million,2015,No,122513057
PG,TriStar,67790117,Drama,War Room,$3 million,2015,No,67790117
R,Paramount,70259870,Drama,The Big Short,$28 million,2015,No,133440870
PG,Sony / Columbia,71038190,Comedy,Paul Blart: Mall Cop 2,$30 million,2015,Series: Paul Blart,107588225
PG-13,Buena Vista,72313754,Thriller,Bridge of Spies,$40 million,2015,No,165478348
PG-13,Warner Bros.,75764672,Comedy,The Intern,$35 million,2015,No,194564672
PG,Weinstein / Dimension,76271832,Family,Paddington,$55 million,2015,Series: Paddington Bear,268047808
PG-13,Sony / Columbia,78747585,Action Comedy,Pixels,$88 million,2015,No,244874809
PG,Sony / Columbia,80080379,Horror Comedy,Goosebumps,$58 million,2015,Series: Goosebumps,158260952
R,Universal,81476385,Comedy,Ted 2,$68 million,2015,Series: Ted,216691733
PG-13,Fox,81697192,Action / Adventure,Maze Runner: The Scorch Trials,$61 million,2015,Series: Maze Runner,312325103
PG,Fox,85886987,Family Comedy,Alvin and the Chipmunks: The Road Chip,N/A,2015,Series: Alvin and the Chipmunks,234798636
R,Universal,87044645,Comedy,Sisters,$30 million,2015,No,105011053
PG-13,Fox,89256424,Action,Taken 3,$48 million,2015,Series: Taken,326479141
PG-13,Paramount,89760956,Action,Terminator: Genisys,$155 million,2015,Series: Terminator,440603537
R,Warner Bros.,90411453,Comedy,Get Hard,$40 million,2015,No,111811453
PG,Buena Vista,93436322,Sci-Fi,Tomorrowland,$190 million,2015,No,209154322
PG-13,Warner Bros. (New Line),109767581,Drama,Creed,$35 million,2015,Series: Creed,173567581
R,Universal,110212700,Comedy,Trainwreck,$35 million,2015,No,140795793
R,Fox,110825712,Comedy,Spy,$65 million,2015,No,235666219
PG,Buena Vista,123087120,Animation,The Good Dinosaur,N/A,2015,No,332207671
R,Fox,128261724,Action / Adventure,Kingsman: The Secret Service,$81 million,2015,Series: Kingsman Franchise,414351546
G,Fox,130178411,Animation,The Peanuts Movie,$99 million,2015,No,246233113
PG-13,Lionsgate/Summit,130179072,Action / Adventure,The Divergent Series: Insurgent,$110 million,2015,Series: Divergent,297276329
PG-13,Paramount,150357137,Comedy,Daddy's Home,N/A,2015,Series: Daddy's Home,242786137
R,Warner Bros.,154058340,Sci-Fi Action,Mad Max: Fury Road,$150 million,2015,Series: Mad Max,378858340
PG-13,Warner Bros. (New Line),155190832,Action,San Andreas,$110 million,2015,No,473990832
R,Universal,161197785,Drama,Straight Outta Compton,$28 million,2015,No,201634991
PG,Paramount,162994032,Animation,The SpongeBob Movie: Sponge Out of Water,$74 million,2015,Series: SpongeBob,325186032
R,Universal,166167230,Romance,Fifty Shades of Grey,$40 million,2015,Series: Fifty Shades,571006128
PG,Sony / Columbia,169700110,Animation,Hotel Transylvania 2,$80 million,2015,Series: Hotel Transylvania,474800000
PG,Fox,177397510,Animation,Home (2015),$135 million,2015,No,386041607
PG-13,Buena Vista,180202163,Action / Adventure,Ant-Man,$130 million,2015,Series: Ant-Man,519311965
R,Fox,183637894,Action / Adventure,The Revenant,$135 million,2015,No,532950503
PG-13,Universal,184296230,Comedy,Pitch Perfect 2,$29 million,2015,Series: Pitch Perfect Trilogy,287506194
PG-13,Paramount,195042377,Action,Mission: Impossible - Rogue Nation,$150 million,2015,Series: Mission: Impossible,682714267
PG-13,Sony / Columbia,200074609,Action,Spectre,$245 million,2015,Series: James Bond,880674609
