domestic,name,production_budget,release_year,worldwide
"$3,287,435",Thirteen Conversations About One Thing,"$3,000,000",2002,"$3,705,923"
"$3,127,773",Compadres,"$3,000,000",2016,"$7,445,044"
"$26,238,243",The Wrestler,"$6,000,000",2008,"$46,634,275"
"$26,004,026",Do the Right Thing,"$6,000,000",1989,"$26,004,026"
"$25,244,700",Escape from New York,"$6,000,000",1981,"$25,245,925"
"$25,059,640",The Wood,"$6,000,000",1999,"$25,059,640"
"$23,341,568",The Usual Suspects,"$6,000,000",1995,"$34,449,356"
"$2,507,159",Grace Unplugged,"$1,700,000",2013,"$2,507,159"
"$2,039,192","Happy, Texas","$1,700,000",1999,"$2,891,228"
"$1,777,043",Saul fia,"$1,700,000",2015,"$9,696,537"
"$1,000,915",My Summer of Love,"$1,700,000",2005,"$4,727,375"
"$396,035",Yes,"$1,700,000",2005,"$661,221"
"$1,660,865","The Book of Mormon Movie, Volume 1: The Journey","$2,000,000",2003,"$1,660,865"
"$1,577,287",Hamlet,"$2,000,000",2000,"$2,419,669"
"$1,477,002",The Diary of a Teenage Girl,"$2,000,000",2015,"$2,279,959"
"$1,433,319",No End In Sight,"$2,000,000",2007,"$1,433,319"
"$1,370,646",Locke,"$2,000,000",2014,"$2,088,390"
"$113,502,246",The Addams Family,"$30,000,000",1991,"$191,502,246"
"$108,360,063",Ace Ventura: When Nature Calls,"$30,000,000",1995,"$212,400,000"
"$108,244,774",The Princess Diaries,"$30,000,000",2001,"$165,334,774"
"$106,885,658",Analyze This,"$30,000,000",1999,"$176,885,658"
"$105,489,203",The First Wives Club,"$30,000,000",1996,"$181,489,203"
$0,Christmas Mail,"$2,500,000",2010,$0
$0,Stung,"$2,500,000",2015,$0
$0,Sky Sharks,"$2,500,000",2017,$0
$0,8 Days,"$2,500,000",2015,$0
$0,Antibirth,"$2,500,000",2016,$0
"$18,298,649",Fright Night,"$30,000,000",2011,"$40,520,649"
"$17,800,004",mother!,"$30,000,000",2017,"$42,531,076"
"$17,766,658",Steve Jobs,"$30,000,000",2015,"$35,579,007"
"$17,266,505",Eight Legged Freaks,"$30,000,000",2002,"$36,722,311"
$0,Viy,"$26,000,000",2015,"$34,246,770"
$0,Accidental Love,"$26,000,000",2015,"$135,436"
$0,The Face of an Angel,"$26,000,000",2015,$0
"$20,080,020",Flipper,"$25,530,000",1996,"$30,593,313"
"$33,579,798",The Constant Gardener,"$25,500,000",2005,"$86,301,599"
"$14,102,929",Maximum Risk,"$25,000,000",1996,"$51,702,929"
"$13,973,532",Stealing Harvard,"$25,000,000",2002,"$13,973,532"
"$13,938,332",Hot Rod,"$25,000,000",2007,"$14,334,401"
"$13,657,115",Warrior,"$25,000,000",2011,"$24,215,385"
"$13,038,660",Angela's Ashes,"$25,000,000",1999,"$13,038,660"
"$8,165,213",A Simple Wish,"$28,000,000",1997,"$8,165,213"
"$7,002,261",Our Brand is Crisis,"$28,000,000",2015,"$8,594,558"
"$5,686,694",Kundun,"$28,000,000",1997,"$5,686,694"
"$2,775,593",How to Lose Friends & Alienate People,"$28,000,000",2008,"$12,031,443"
"$21,284,514",To Die For,"$20,000,000",1995,"$27,688,744"
"$20,919,166",Shorts,"$20,000,000",2009,"$29,870,801"
"$20,268,825",Vampires,"$20,000,000",1998,"$20,268,825"
"$20,211,394",Appaloosa,"$20,000,000",2008,"$27,911,453"
"$20,180,155",Secret in Their Eyes,"$20,000,000",2015,"$32,608,019"
"$11,511,323",The Longshots,"$23,000,000",2008,"$11,778,396"
"$10,660,147",The End of the Affair,"$23,000,000",1999,"$10,660,147"
"$7,018,525",Harley Davidson and the Marlboro Man,"$23,000,000",1991,"$7,018,525"
"$6,777,741",In the Valley of Elah,"$23,000,000",2007,"$24,489,150"
"$6,113,834",Coco avant Chanel,"$23,000,000",2009,"$50,813,834"
"$132,422,809",Wonder,"$20,000,000",2017,"$304,604,712"
"$399,793",The Loss of Sexual Innocence,"$4,000,000",1999,"$399,793"
